,Aracaju,Belém,Belo Horizonte,Boa Vista,Brasília,Campo Grande,Cuiabá,Curitiba,Florianópolis,Fortaleza,Goiânia,João Pessoa,Macapá,Maceió,Manaus,Natal,Palmas,Porto Alegre,Porto Velho,Recife,Rio Branco,R. Janeiro,Salvador,São Luis,São Paulo,Teresina,Vitória
Aracaju,0,1641,1248,3022,1292,2155,2121,2061,2207,815,1461,486,1967,201,2673,604,1235,2580,2946,398,3359,1482,277,1226,1731,903,1102
Belém,2079,0,2111,1432,1592,2212,1778,2665,2904,1133,1693,1636,329,1680,1292,1550,973,3188,1886,1676,2333,2450,1687,481,2463,750,2275
B. Horizonte,1578,2824,0,3117,624,1118,1372,820,973,1893,666,1726,2349,1439,2556,1831,1178,1341,2477,1639,2786,339,964,1932,489,1652,378
Boa Vista,6000,6083,4736,0,2496,2667,2107,3370,3620,2562,2503,3067,1110,3089,661,2983,1988,3785,1335,3103,1626,3428,3009,1913,3300,2169,3394
Brasília,1652,2120,716,4275,0,878,873,1081,1314,1687,173,1716,1791,1485,1932,1775,620,1619,1900,1657,2246,933,1060,1524,873,1313,947
C. Grande,2765,2942,1453,3836,1134,0,559,780,1007,2547,705,2593,2309,2352,2013,2654,1320,1119,1634,2530,1827,1212,1905,2284,894,2132,1490
Cuiabá,2775,2941,1594,3142,1133,694,0,1302,1543,2329,740,2495,1822,2302,1453,2524,1029,1679,1137,2452,1414,1575,1915,1942,1326,1862,1745
Curitiba,2595,3193,1004,4821,1366,991,1679,0,251,2670,972,2545,2836,2259,2734,2645,1693,546,2412,2459,2601,675,1784,2599,338,2362,1076
Florianópolis,2892,3500,1301,5128,1673,1298,1986,300,0,2857,1215,2693,3082,2402,2981,2802,1931,376,2641,2603,2809,748,1930,2821,489,2573,1160
Fortaleza,1183,1610,2528,6548,2200,3407,3406,3541,3838,0,1854,555,1451,730,2383,435,1300,3213,2855,629,3300,2190,1028,652,2368,495,1855
Goiânia,1848,2017,906,4076,209,935,934,1186,1493,2482,0,1889,1868,1656,1912,1948,724,1497,1813,1829,2138,936,1225,1662,810,1467,1022
João Pessoa,611,2161,2171,6593,2245,3357,3366,3188,3485,688,2442,0,1964,299,2819,151,1521,3066,3200,104,3632,1968,763,1162,2216,905,1581
Macapá, , , , , , , , , , , , ,0,2009,1054,1874,1177,3341,1724,2005,2159,2687,2000,803,2664,1079,2545
Maceió,294,2173,1854,6279,1930,3040,3049,2871,3168,1075,2125,395, ,0,2778,434,1383,2775,3090,202,3510,1671,475,1234,1928,929,1282
Manaus,5215,5298,3951,785,3490,3051,2357,4036,4443,5763,3291,5808, ,5491,0,2765,1509,3132,761,2833,1149,2849,2605,1746,2689,1921,2865
Natal,788,2108,2348,6770,2422,3534,3543,3365,3662,537,2618,185, ,572,5985,0,1527,3172,3179,253,3616,2085,875,1071,2320,843,1706
Palmas,1662,1283,1690,4926,973,1785,1784,2036,2336,2035,874,2253, ,1851,4141,2345,0,2222,1711,1498,2127,1512,1114,964,1493,835,1413
Porto Alegre,3296,3852,1712,5348,2027,1518,2206,711,476,4242,1847,3889, ,3572,4563,4066,2747,0,2706,2977,2814,1123,2303,3142,852,2909,1536
Porto Velho,4230,4397,3050,1686,2589,2150,1456,3135,3442,4862,2390,4822, ,4505,901,4998, ,3662,0,3190,449,2707,2808,2274,2463,2362,2835
Recife,501,2074,2061,6483,2135,3247,3255,3078,3375,800,2332,120, ,285,5698,297,2058,3779,4712,0,3618,1874,675,1209,2128,934,1483
Rio Branco,4763,4931,3584,2230,3123,2684,1990,3669,3976,5396,2924,5356, ,5039,1445,5533,3764,4196,544,5243,0,2982,3206,2726,2704,2806,3156
R. Janeiro,1855,3250,434,5159,1148,1444,2017,852,1144,2805,1338,2448, ,2131,4374,2625,2124,1553,3473,2338,4007,0,1209,2266,357,1979,412
Salvador,356,2100,1372,5794,1446,2568,2566,2385,2682,1389,1643,949, ,632,5009,1126,1454,3090,4023,839,4457,1649,0,1323,1453,994,839
São Luis,1578,806,2738,6120,2157,2979,2978,3230,3537,1070,2054,1660, ,1672,5335,1607,1386,3891,4434,1573,4968,3015,1599,0,2348,329,2023
São Paulo,2187,2933,586,4756,1015,1014,1614,408,705,3127,926,2770, ,2453,3971,2947,1776,1109,3070,2660,3604,429,1962,2970,0,2091,741
Teresina,1142,947,2302,6052,1789,2911,2910,3143,3450,634,1986,1224, ,1236,5267,1171,1401,3804,4366,1137,4900,2579,1163,446,2792,0,1713
Vitória,1408,3108,524,5261,1239,1892,2119,1300,1597,2397,1428,2001, ,1684,4476,2178,2214,2001,3575,1831,4109,521,1202,2607,882,2171,0
